iter	Passed	Remaining
0	227	226942
1	356	177867
2	435	144797
3	493	122968
4	543	108156
5	591	98031
6	642	91074
7	692	85840
8	746	82173
9	790	78268
10	839	75460
11	889	73254
12	936	71130
13	985	69399
14	1031	67702
15	1079	66391
16	1132	65483
17	1184	64624
18	1235	63776
19	1281	62769
20	1332	62097
21	1385	61597
22	1433	60876
23	1484	60352
24	1528	59596
25	1570	58828
26	1620	58391
27	1664	57780
28	1710	57262
29	1760	56923
30	1809	56562
31	1859	56255
32	1916	56147
33	1979	56230
34	2039	56225
35	2104	56345
36	2163	56313
37	2231	56502
38	2296	56579
39	2354	56514
40	2412	56435
41	2465	56245
42	2530	56312
43	2588	56247
44	2687	57029
45	2735	56742
46	2783	56449
47	2830	56137
48	2876	55826
49	2921	55513
50	2971	55288
51	3017	55017
52	3061	54705
53	3106	54423
54	3154	54194
55	3196	53875
56	3241	53633
57	3285	53357
58	3333	53166
59	3384	53028
60	3427	52763
61	3478	52631
62	3525	52431
63	3576	52300
64	3625	52147
65	3673	51987
66	3725	51881
67	3771	51684
68	3814	51466
69	3864	51338
70	3924	51350
71	3988	51407
72	4052	51459
73	4109	51429
74	4190	51677
75	4255	51734
76	4320	51790
77	4383	51819
78	4438	51743
79	4491	51649
80	4548	51606
81	4610	51610
82	4664	51534
83	4712	51393
84	4764	51293
85	4820	51230
86	4866	51072
87	4914	50932
88	4962	50791
89	5005	50613
90	5058	50526
91	5108	50419
92	5162	50351
93	5209	50208
94	5280	50304
95	5332	50215
96	5388	50165
97	5449	50156
98	5504	50093
99	5555	50003
100	5611	49951
101	5672	49942
102	5728	49888
103	5785	49840
104	5837	49753
105	5894	49714
106	5951	49668
107	6007	49615
108	6067	49600
109	6146	49727
110	6212	49756
111	6272	49731
112	6331	49695
113	6390	49669
114	6457	49692
115	6534	49799
116	6599	49809
117	6660	49786
118	6714	49711
119	6835	50127
120	6915	50235
121	6968	50147
122	7018	50043
123	7082	50031
124	7144	50009
125	7209	50005
126	7258	49896
127	7310	49800
128	7365	49730
129	7422	49676
130	7491	49693
131	7546	49623
132	7593	49501
133	7637	49359
134	7681	49215
135	7731	49119
136	7774	48971
137	7819	48844
138	7867	48730
139	7919	48650
140	7964	48523
141	8025	48490
142	8106	48582
143	8166	48544
144	8217	48454
145	8262	48327
146	8304	48186
147	8346	48051
148	8391	47925
149	8435	47801
150	8478	47671
151	8524	47558
152	8571	47449
153	8611	47308
154	8656	47190
155	8701	47078
156	8750	46986
157	8795	46871
158	8872	46929
159	9066	47600
160	9126	47557
161	9190	47538
162	9243	47462
163	9297	47394
164	9346	47296
165	9395	47203
166	9444	47107
167	9494	47019
168	9545	46936
169	9592	46832
170	9646	46764
171	9698	46687
172	9739	46555
173	9784	46448
174	9831	46348
175	9881	46261
176	9927	46158
177	9968	46036
178	10012	45921
179	10063	45843
180	10108	45740
181	10150	45622
182	10195	45517
183	10261	45508
184	10441	46001
185	10504	45969
186	10566	45938
187	10633	45927
188	10687	45858
189	10736	45772
190	10787	45693
191	10838	45611
192	10892	45543
193	10943	45464
194	10992	45380
195	11044	45303
196	11102	45256
197	11156	45191
198	11204	45098
199	11243	44975
200	11292	44890
201	11346	44824
202	11394	44736
203	11442	44647
204	11486	44544
205	11536	44465
206	11583	44374
207	11627	44274
208	11671	44171
209	11741	44171
210	11915	44555
211	11986	44554
212	12053	44534
213	12104	44459
214	12154	44379
215	12205	44301
216	12257	44228
217	12315	44176
218	12361	44083
219	12408	43995
220	12462	43929
221	12524	43891
222	12571	43801
223	12614	43700
224	12664	43621
225	12714	43543
226	12757	43444
227	12806	43361
228	12854	43277
229	12897	43177
230	12938	43073
231	12981	42972
232	13027	42883
233	13071	42790
234	13116	42699
235	13160	42603
236	13202	42503
237	13246	42412
238	13296	42336
239	13345	42262
240	13389	42169
241	13437	42090
242	13481	41996
243	13528	41916
244	13572	41824
245	13614	41729
246	13660	41645
247	13707	41565
248	13769	41530
249	13817	41453
250	13862	41368
251	13906	41278
252	13954	41201
253	14004	41131
254	14046	41039
255	14092	40957
256	14138	40873
257	14183	40789
258	14229	40709
259	14270	40617
260	14317	40539
261	14367	40469
262	14415	40397
263	14456	40304
264	14498	40214
265	14542	40129
266	14584	40038
267	14624	39945
268	14671	39870
269	14717	39792
270	14759	39702
271	14803	39622
272	14848	39540
273	14891	39458
274	14937	39381
275	14980	39297
276	15031	39232
277	15074	39149
278	15121	39078
279	15170	39008
280	15216	38935
281	15263	38863
282	15307	38783
283	15354	38711
284	15401	38639
285	15448	38566
286	15496	38497
287	15543	38427
288	15590	38355
289	15633	38275
290	15676	38193
291	15716	38107
292	15765	38042
293	15811	37970
294	15864	37912
295	15911	37844
296	15959	37775
297	16005	37703
298	16047	37622
299	16094	37553
300	16137	37474
301	16185	37409
302	16230	37334
303	16275	37263
304	16323	37196
305	16367	37120
306	16418	37062
307	16460	36982
308	16502	36903
309	16549	36836
310	16600	36776
311	16650	36715
312	16694	36642
313	16741	36574
314	16786	36504
315	16837	36445
316	16883	36377
317	16927	36303
318	16969	36226
319	17016	36161
320	17061	36088
321	17107	36020
322	17151	35948
323	17194	35873
324	17235	35796
325	17283	35733
326	17324	35656
327	17372	35592
328	17425	35538
329	17469	35468
330	17516	35403
331	17561	35334
332	17609	35272
333	17651	35196
334	17694	35124
335	17745	35067
336	17787	34993
337	17831	34925
338	17877	34858
339	17920	34786
340	17966	34721
341	18013	34657
342	18056	34585
343	18102	34520
344	18147	34453
345	18191	34385
346	18237	34320
347	18281	34252
348	18329	34190
349	18374	34123
350	18417	34054
351	18464	33992
352	18509	33925
353	18564	33878
354	18615	33822
355	18655	33748
356	18699	33679
357	18744	33615
358	18790	33551
359	18839	33491
360	18887	33431
361	18934	33371
362	18981	33308
363	19022	33237
364	19072	33181
365	19118	33117
366	19165	33056
367	19213	32996
368	19255	32928
369	19301	32865
370	19348	32803
371	19395	32743
372	19443	32683
373	19485	32614
374	19534	32557
375	19580	32495
376	19624	32429
377	19668	32365
378	19713	32301
379	19757	32236
380	19813	32190
381	19862	32133
382	19904	32065
383	19951	32006
384	19996	31942
385	20038	31874
386	20082	31809
387	20128	31749
388	20173	31686
389	20218	31623
390	20268	31569
391	20319	31515
392	20366	31456
393	20419	31406
394	20464	31344
395	20510	31284
396	20559	31228
397	20601	31161
398	20648	31101
399	20692	31039
400	20738	30977
401	20786	30921
402	20838	30869
403	20884	30809
404	20927	30745
405	20973	30685
406	21021	30629
407	21063	30562
408	21107	30499
409	21150	30435
410	21195	30374
411	21243	30318
412	21287	30255
413	21334	30198
414	21383	30143
415	21432	30087
