iter	Passed	Remaining
0	235	235416
1	306	153120
2	397	132180
3	486	121034
4	546	108688
5	607	100628
6	737	104603
7	815	101106
8	869	95715
9	934	92477
10	1029	92547
11	1133	93345
12	1241	94225
13	1318	92861
14	1376	90405
15	1441	88679
16	1504	87020
17	1566	85465
18	1619	83629
19	1673	81983
20	1726	80484
21	1774	78876
22	1825	77544
23	1875	76258
24	1933	75408
25	2002	75019
26	2093	75445
27	2167	75250
28	2226	74534
29	2275	73571
30	2350	73483
31	2411	72948
32	2469	72359
33	2534	72000
34	2601	71732
35	2662	71305
36	2721	70832
37	2778	70340
38	2837	69925
39	2897	69548
40	2956	69164
41	3017	68836
42	3066	68248
43	3122	67836
44	3171	67301
45	3225	66892
46	3284	66592
47	3346	66362
48	3400	65988
49	3453	65614
50	3511	65349
51	3562	64949
52	3617	64635
53	3675	64392
54	3727	64048
55	3776	63665
56	3831	63394
57	3890	63191
58	3972	63355
59	4035	63218
60	4080	62810
61	4129	62474
62	4174	62085
63	4236	61956
64	4286	61660
65	4341	61444
66	4401	61297
67	4451	61006
68	4495	60655
69	4549	60448
70	4603	60232
71	4649	59921
72	4716	59890
73	4789	59932
74	4857	59908
75	4918	59804
76	4973	59620
77	5022	59372
78	5087	59311
79	5135	59062
80	5190	58891
81	5259	58881
82	5336	58956
83	5393	58812
84	5441	58575
85	5491	58358
86	5552	58271
87	5626	58310
88	5689	58235
89	5742	58067
90	5797	57909
91	5865	57889
92	5921	57752
93	5980	57640
94	6042	57565
95	6127	57697
96	6187	57599
97	6250	57528
98	6316	57488
99	6390	57512
100	6450	57419
101	6501	57239
102	6552	57067
103	6604	56898
104	6650	56689
105	6736	56814
106	6851	57180
107	6943	57344
108	7047	57608
109	7145	57812
110	7244	58019
