iter	Passed	Remaining
0	219	219039
1	275	137236
2	333	110778
3	391	97460
4	446	88878
5	501	83109
6	590	83717
7	654	81177
8	702	77376
9	749	74188
10	799	71912
11	851	70102
12	906	68834
13	959	67557
14	1022	67154
15	1084	66718
16	1145	66239
17	1207	65857
18	1258	64962
19	1304	63907
20	1360	63416
21	1412	62779
22	1464	62215
23	1511	61453
24	1563	60995
25	1610	60344
26	1661	59867
27	1706	59240
28	1756	58815
29	1808	58470
30	1856	58046
31	1911	57817
32	1961	57487
33	2011	57137
34	2059	56797
35	2115	56648
36	2170	56499
37	2225	56335
38	2279	56169
39	2331	55952
40	2384	55764
41	2433	55511
42	2482	55247
43	2532	55016
44	2583	54833
45	2633	54619
46	2681	54380
47	2724	54041
48	2773	53829
49	2824	53662
50	2873	53470
51	2924	53324
52	2974	53144
53	3026	53021
54	3074	52828
55	3122	52632
56	3166	52387
57	3214	52202
58	3258	51966
59	3309	51842
60	3354	51632
61	3399	51426
62	3443	51213
63	3493	51090
64	3541	50946
65	3594	50870
66	3642	50727
67	3695	50653
68	3745	50534
69	3793	50401
70	3842	50282
71	3889	50132
72	3934	49956
73	3979	49799
74	4030	49713
75	4078	49588
76	4123	49427
77	4170	49295
78	4217	49166
79	4267	49075
80	4314	48948
81	4358	48797
82	4409	48718
83	4455	48588
84	4503	48478
85	4553	48394
86	4600	48273
87	4648	48173
88	4700	48111
89	4748	48010
90	4794	47888
91	4839	47762
92	4886	47651
93	4933	47551
94	4980	47442
95	5026	47328
96	5075	47246
97	5129	47216
98	5190	47236
99	5253	47281
100	5313	47294
101	5377	47342
102	5431	47298
103	5492	47316
104	5555	47357
105	5619	47390
106	5682	47423
107	5740	47413
108	5792	47353
109	5839	47245
110	5894	47205
111	5943	47124
112	5994	47054
113	6046	46991
114	6100	46949
115	6156	46916
116	6202	46812
117	6249	46715
118	6298	46627
119	6348	46555
120	6401	46502
121	6461	46501
122	6519	46486
123	6593	46578
124	6660	46623
125	6721	46624
126	6784	46639
127	6844	46628
128	6909	46652
129	6977	46693
130	7030	46639
131	7082	46570
132	7133	46500
133	7183	46426
134	7230	46331
135	7281	46258
136	7328	46163
137	7379	46094
138	7431	46034
139	7484	45975
140	7534	45902
141	7586	45838
142	7641	45793
143	7689	45712
144	7736	45615
145	7785	45539
146	7838	45482
147	7879	45358
148	7926	45272
149	7974	45186
150	8020	45093
151	8066	45002
152	8114	44920
153	8161	44832
154	8210	44759
155	8253	44653
156	8296	44548
157	8343	44465
158	8391	44384
159	8437	44297
160	8486	44223
161	8539	44173
162	8595	44135
163	8657	44131
164	8713	44094
165	8765	44038
166	8816	43978
167	8860	43881
168	8909	43809
169	8957	43733
170	9005	43658
171	9050	43568
172	9093	43470
173	9137	43377
174	9183	43291
175	9226	43194
176	9271	43110
177	9316	43021
178	9360	42930
179	9409	42864
180	9456	42788
181	9502	42710
182	9547	42625
183	9599	42569
184	9649	42508
185	9692	42416
186	9737	42333
187	9784	42259
188	9829	42178
189	9874	42097
190	9922	42028
191	9969	41954
192	10015	41878
193	10063	41809
194	10106	41719
195	10152	41647
196	10195	41559
197	10238	41472
198	10281	41384
199	10324	41297
200	10368	41216
201	10413	41138
202	10457	41056
203	10506	40994
204	10549	40911
205	10601	40861
206	10649	40798
207	10692	40712
208	10734	40628
209	10780	40554
210	10826	40482
211	10867	40393
212	10909	40308
213	10951	40222
214	10993	40137
215	11038	40064
216	11087	40008
217	11133	39937
218	11177	39861
219	11222	39788
220	11269	39724
221	11314	39650
222	11358	39575
223	11400	39496
224	11446	39426
225	11490	39353
226	11532	39270
227	11574	39189
228	11614	39104
229	11659	39033
230	11700	38950
231	11739	38862
232	11785	38797
233	11826	38712
234	11869	38640
235	11909	38553
236	11950	38472
237	11992	38397
238	12037	38328
239	12080	38255
240	12122	38177
241	12163	38099
242	12205	38021
243	12247	37947
244	12288	37869
245	12329	37789
246	12371	37715
247	12414	37643
248	12456	37568
249	12497	37493
250	12539	37418
251	12578	37337
252	12624	37273
253	12668	37206
254	12708	37129
255	12748	37049
256	12790	36976
257	12829	36898
258	12871	36826
259	12917	36764
260	12961	36699
261	13006	36636
262	13048	36566
263	13090	36495
264	13135	36432
265	13178	36364
266	13217	36286
267	13256	36207
268	13298	36138
269	13340	36069
270	13389	36017
271	13428	35940
272	13470	35870
273	13511	35799
274	13554	35735
275	13596	35664
276	13640	35603
277	13683	35538
278	13731	35484
279	13776	35424
280	13817	35354
281	13859	35287
282	13901	35221
283	13944	35156
284	13986	35088
285	14028	35021
286	14073	34962
287	14118	34902
288	14159	34835
289	14204	34775
290	14244	34706
291	14282	34630
292	14327	34571
293	14372	34512
294	14417	34454
295	14462	34396
296	14504	34332
297	14546	34267
298	14588	34203
299	14632	34143
300	14670	34069
301	14716	34012
302	14760	33954
303	14804	33893
304	14851	33841
305	14891	33773
306	14932	33706
307	14975	33645
308	15019	33586
309	15064	33530
310	15108	33471
311	15150	33408
312	15194	33350
313	15239	33293
314	15280	33229
315	15322	33167
316	15369	33113
317	15411	33052
318	15452	32987
319	15496	32930
320	15537	32866
321	15579	32803
322	15620	32739
323	15660	32674
324	15704	32617
325	15759	32583
326	15810	32539
327	15864	32502
328	15921	32472
329	15980	32444
330	16038	32417
331	16095	32384
332	16153	32356
333	16207	32318
334	16258	32274
335	16316	32245
336	16367	32199
337	16418	32157
338	16482	32139
339	16563	32151
340	16615	32110
